"title","artist","album","duration_seconds","audio_url"
"Instance","Johny Grimes","Electronic","133","https://data.freetouse.com/music/tracks/7ae0cf54-254a-4504-a302-28cae53179aa/file/mp3/file.mp3"
"Trinity","Johny Grimes","Electronic","150","https://data.freetouse.com/music/tracks/7fa9bd07-ff25-44e0-b343-4be730499b15/file/mp3/file.mp3"
"Trinix","Johny Grimes","Dance","143","https://data.freetouse.com/music/tracks/66e1b1b9-5c27-4796-a919-71dddefc4c19/file/mp3/file.mp3"
"Evening Nostalgia","Aventure","Hip Hop/Rap","103","https://data.freetouse.com/music/tracks/17c668bd-ec37-4986-81e6-4ca0a44eb618/file/mp3/file.mp3"
"Steady","Zambolino","Rock","125","https://data.freetouse.com/music/tracks/a4120e12-65f6-4709-a1ed-dbff24523e47/file/mp3/file.mp3"
"Moments","Sunborn","Electronic","141","https://data.freetouse.com/music/tracks/31f12c10-3a06-471d-bffa-b5107affec92/file/mp3/file.mp3"
"Trendy","Aylex","Rock","146","https://data.freetouse.com/music/tracks/9306fe9f-ec76-4284-a337-15d7b04358b0/file/mp3/file.mp3"
"In Your Hands","Aventure","Hip Hop/Rap","138","https://data.freetouse.com/music/tracks/0eb2a756-e3c1-4c37-b487-1547c044192f/file/mp3/file.mp3"
"Fakir","Zambolino","World","128","https://data.freetouse.com/music/tracks/733adec1-5f69-483c-8183-b09b02d54c49/file/mp3/file.mp3"
"The Choice","Walen","Inspirational","129","https://data.freetouse.com/music/tracks/0b8d1ab9-db77-414e-9fe9-1713613a2b83/file/mp3/file.mp3"
"Sundown","AgusAlvarez","Instrumental","181","https://data.freetouse.com/music/tracks/04e98369-4b02-4d6c-b93f-7336af00b562/file/mp3/file.mp3"
"Titanium","Alegend","Soundtrack","141","https://data.freetouse.com/music/tracks/09981b4e-07f8-4bdb-a36d-32819e8db413/file/mp3/file.mp3"
"petals","massobeats","Instrumental","134","https://data.freetouse.com/music/tracks/56193a8c-d821-4a73-83ed-9e96f3e6caa2/file/mp3/file.mp3"
"Quiet Bounce","Aventure","Hip Hop/Rap","144","https://data.freetouse.com/music/tracks/c6110ad3-ef27-4337-b561-cb366fe80bbb/file/mp3/file.mp3"
"Andorra","Zambolino","Folk","95","https://data.freetouse.com/music/tracks/c4a60593-64f7-4076-9a6e-a8865eca970e/file/mp3/file.mp3"
"Blue Planet","Piki","Instrumental","220","https://data.freetouse.com/music/tracks/ab2c0d6d-05f0-4429-9e09-12bcbe7355bf/file/mp3/file.mp3"
"Lifestyle Groove","Dagored","R&B/Soul","113","https://data.freetouse.com/music/tracks/37f8b2c2-4b7b-479a-aee7-7b94075388fd/file/mp3/file.mp3"
"Cold Coffee","Aventure","Hip Hop/Rap","158","https://data.freetouse.com/music/tracks/6ebc2c15-2e43-4163-901d-e25ab823db96/file/mp3/file.mp3"
"Abyss","Tetuano","Soundtrack","122","https://data.freetouse.com/music/tracks/21c3d8b4-423b-4617-b630-3fc70ad91cf7/file/mp3/file.mp3"
"Come On","Zambolino","Rock","79","https://data.freetouse.com/music/tracks/449963df-2677-4d3f-9502-db64b77f9a12/file/mp3/file.mp3"
"afraid","numbthefeelings","New Age","88","https://data.freetouse.com/music/tracks/313a251c-f9af-448d-8949-1f282762c618/file/mp3/file.mp3"
"Strategic","Aylex","Easy Listening","122","https://data.freetouse.com/music/tracks/c07816bd-92e3-4ecf-b513-6de2d5da2216/file/mp3/file.mp3"
"Productive","Aylex","Electronic","142","https://data.freetouse.com/music/tracks/2afd80dc-7c13-4555-9827-db113a61611c/file/mp3/file.mp3"
"lullaby","numbthefeelings","New Age","84","https://data.freetouse.com/music/tracks/a14d69c6-ceae-448f-8b52-1f3bedb03f19/file/mp3/file.mp3"
"Pink Clouds","NVL8","Hip Hop/Rap","99","https://data.freetouse.com/music/tracks/d663407f-da1c-4851-ac34-041914d2f4f7/file/mp3/file.mp3"
"distant","numbthefeelings","New Age","95","https://data.freetouse.com/music/tracks/b36c225a-3a96-4269-aab8-4c955d31a9c4/file/mp3/file.mp3"
"memories","massobeats","Instrumental","154","https://data.freetouse.com/music/tracks/103e1b68-5b31-41e7-bc84-9b11b61d7597/file/mp3/file.mp3"
"Swag Season","NVL8","Hip Hop/Rap","98","https://data.freetouse.com/music/tracks/623a7071-6518-4b50-8a16-8e19d70622aa/file/mp3/file.mp3"
"Evolving","Aylex","Electronic","133","https://data.freetouse.com/music/tracks/e7da62d7-3024-486f-9295-98a25f5ceb50/file/mp3/file.mp3"
"ashes","numbthefeelings","New Age","86","https://data.freetouse.com/music/tracks/1c801912-0dd5-4e73-ae57-b32e02fd5f94/file/mp3/file.mp3"
"Trappin","NVL8","Hip Hop/Rap","146","https://data.freetouse.com/music/tracks/ec06b686-2e68-4735-b76d-479d1f8094a3/file/mp3/file.mp3"
"De Profundis","Zambolino","Instrumental","113","https://data.freetouse.com/music/tracks/07563975-e114-4304-8ed4-5a8860d2a06d/file/mp3/file.mp3"
"your cold hands","numbthefeelings","New Age","76","https://data.freetouse.com/music/tracks/d5550be1-9ed0-4a17-85aa-01d326625b00/file/mp3/file.mp3"
"Over You","NVL8","Hip Hop/Rap","121","https://data.freetouse.com/music/tracks/0b2ef91a-3a81-4453-a5c6-5bfd8c99ce76/file/mp3/file.mp3"
"Warm Morning","Dagored","Instrumental","163","https://data.freetouse.com/music/tracks/98dd5cde-767d-4c47-91c7-51686d489f6f/file/mp3/file.mp3"
"timeless","massobeats","Instrumental","148","https://data.freetouse.com/music/tracks/d4247218-17f2-4375-81a3-efd5c092533b/file/mp3/file.mp3"
"lose her","numbthefeelings","New Age","97","https://data.freetouse.com/music/tracks/24f3a2ff-f85a-479d-adad-279ad7170f19/file/mp3/file.mp3"
"Loved to Feel","NVL8","Hip Hop/Rap","157","https://data.freetouse.com/music/tracks/540f1f38-b88c-4905-bdf1-63f6e3bcf9f8/file/mp3/file.mp3"
"Jungle Monkey","Walen","World","124","https://data.freetouse.com/music/tracks/cce6c6cf-6574-4a39-a2e9-e84f90182356/file/mp3/file.mp3"
"Passage","Zambolino","Rock","116","https://data.freetouse.com/music/tracks/5e8f6033-dae2-470d-8a48-0dbf9a44b59d/file/mp3/file.mp3"
"wake me up","numbthefeelings","New Age","91","https://data.freetouse.com/music/tracks/a0348e62-c666-4547-b7d8-95c2e6d2ae4e/file/mp3/file.mp3"
"Backstreets","Dagored","Instrumental","124","https://data.freetouse.com/music/tracks/6fdfb1a8-c21b-4a5a-ad24-15e1c522b9fb/file/mp3/file.mp3"
"Colourful","Spiring","Instrumental","127","https://data.freetouse.com/music/tracks/edcf473d-2b1e-4b7d-b2ca-ea009209b726/file/mp3/file.mp3"
"things i never said","numbthefeelings","New Age","84","https://data.freetouse.com/music/tracks/cfa655be-c04c-4740-8361-56e48b25b358/file/mp3/file.mp3"
"Keep It Cool","Walen","Electronic","140","https://data.freetouse.com/music/tracks/a58941f3-57e7-4060-9abe-a91dc162f042/file/mp3/file.mp3"
"Moment of Peace","Zambolino","New Age","147","https://data.freetouse.com/music/tracks/2f02b7db-85b9-430d-b8ba-1aaee67e545e/file/mp3/file.mp3"
"floating","numbthefeelings","New Age","79","https://data.freetouse.com/music/tracks/4b8692c4-5e20-42db-b5c7-73aed0030242/file/mp3/file.mp3"
"Fashion Flow","ESCP","Electronic","255","https://data.freetouse.com/music/tracks/4cd43a21-6a98-4a91-88c8-b646c51d3a0b/file/mp3/file.mp3"
"Downtown","Tetuano","Electronic","128","https://data.freetouse.com/music/tracks/1777ba8e-9d18-4c23-ae7f-7bb81b82b44c/file/mp3/file.mp3"
"Sinister","Aylex","Soundtrack","175","https://data.freetouse.com/music/tracks/b0e90f9b-1aa0-43ea-8d36-be9ff0c293b6/file/mp3/file.mp3"
"when i'm gone","numbthefeelings","New Age","96","https://data.freetouse.com/music/tracks/f321cc4f-bc81-4bf7-9153-42597ce21d54/file/mp3/file.mp3"
"sky","massobeats","Instrumental","136","https://data.freetouse.com/music/tracks/947eedd6-6f23-4503-9d27-e4c472682a77/file/mp3/file.mp3"
"Root","Moavii","Instrumental","58","https://data.freetouse.com/music/tracks/eba38cc0-7253-497c-8800-68d84fbc2b10/file/mp3/file.mp3"
"Investigations","Aylex","Soundtrack","157","https://data.freetouse.com/music/tracks/a732a2c6-1ec3-441f-9c1d-8ad39595d5c5/file/mp3/file.mp3"
"Open Field","Sunborn","Soundtrack","122","https://data.freetouse.com/music/tracks/d5bbb15f-fa3e-46a8-aebc-6d7a4da947d5/file/mp3/file.mp3"
"Vibe With You","HiLau","Electronic","205","https://data.freetouse.com/music/tracks/823e5841-5bc6-4104-814a-6b225f76eac7/file/mp3/file.mp3"
"Medical Research","Aylex","Easy Listening","89","https://data.freetouse.com/music/tracks/55ac1b56-70ea-4fce-95e0-de17598a8d4f/file/mp3/file.mp3"
"Simple Success","Bluewave","Inspirational","161","https://data.freetouse.com/music/tracks/74ed5b0a-31b8-4e97-bbba-0c26745d88a1/file/mp3/file.mp3"
"Boomer","Zambolino","Rock","136","https://data.freetouse.com/music/tracks/bb1cc9a9-68b3-4009-82ea-5e88a827719f/file/mp3/file.mp3"
"Steel & Glory","Aylex","Rock","120","https://data.freetouse.com/music/tracks/75035428-cbb5-4795-a19c-cef856dfc0f1/file/mp3/file.mp3"
"Lothlorien","Zambolino","Soundtrack","167","https://data.freetouse.com/music/tracks/3c8fc0a9-57a7-49d2-93c6-719be168a080/file/mp3/file.mp3"
"The Sky","Sunborn","Instrumental","182","https://data.freetouse.com/music/tracks/5b18886c-3472-4259-b9bb-f80fb4f6f924/file/mp3/file.mp3"
"Powered","Aylex","Electronic","126","https://data.freetouse.com/music/tracks/2fedf2db-b98f-4caa-b0a7-c708779d18ad/file/mp3/file.mp3"
"Future Focus","Bluewave","Inspirational","148","https://data.freetouse.com/music/tracks/4c670361-244a-4ac7-95a9-e888fb2a9b41/file/mp3/file.mp3"
"Nighthawk","Zambolino","Rock","93","https://data.freetouse.com/music/tracks/9a421961-6825-4c15-8651-3f673fa9828f/file/mp3/file.mp3"
"Stalker","Zambolino","Electronic","131","https://data.freetouse.com/music/tracks/38137490-f9f4-4a7e-8dab-18094b4eb5fc/file/mp3/file.mp3"
"Purity","Aylex","Electronic","179","https://data.freetouse.com/music/tracks/e2e9e93c-0eb2-4db5-ab50-34cd0d7a3813/file/mp3/file.mp3"
"Late Night","Spiring","Electronic","130","https://data.freetouse.com/music/tracks/cd7f2db3-1b11-4b2f-9d9b-9679c3c13abd/file/mp3/file.mp3"
"Demiurge","Zambolino","Rock","129","https://data.freetouse.com/music/tracks/62d1b151-361b-42ce-84c2-dea2e9fd7c6c/file/mp3/file.mp3"
"Crime Scene","Aylex","Soundtrack","127","https://data.freetouse.com/music/tracks/d47e2600-28b6-4100-acf1-afbc05f0945b/file/mp3/file.mp3"
